Id,Label,lat,lon
415071,Pri Dogonivar,45.989292,14.657596
303041,ŠTEPANJSKO NAS.,46.053837,14.547819
404191,Pot heroja Trtnika,46.043736,14.595042
202032,Savske stolpnice,46.065926,14.523151
204222,Podgorica,46.097885,14.586969
204302,Ledena dvorana Zalog,46.062149,14.6064
504101,Škofljica Petkovšek,45.989559,14.566518
103041,Puhova,46.076454,14.519484
405022,Besnica,46.036812,14.650412
204154,Šentjakob,46.090469,14.582872
700011,Gosposvetska,46.054905,14.503717
415091,Pri Dolencu,46.017799,14.640197
744032,Brezovica pošta,46.02079,14.415983
405012,Javor,46.040199,14.64026
103022,Brinje,46.077972,14.506268
501011,Ilirska,46.053055,14.513493
103102,Stožice,46.08601,14.514098
614022,Brglezov štradon,46.009579,14.500181
602012,Cankarjev dom,46.050003,14.497364
804151,Tacen,46.120239,14.466937
504072,Pod Hribom,46.006435,14.548618
803092,Zgornja Šiška,46.071117,14.478365
415022,Podlipoglav,46.01696,14.623319
403043,Štepanja vas,46.048428,14.538531
702011,Pod Rožnikom,46.051216,14.492358
803071,Tehnounion,46.085869,14.480589
406031,Prežganje,46.020084,14.741069
415011,Sadinja vas,46.021717,14.612183
603092,Livada,46.033203,14.512451
