Source,Target,Type,Weight,EdgeType,routes,dist_m
603044,603142,Directed,144.0,BUS,"1, 1B",0.0
603044,603041,Directed,191.36,WALK,,75.7
104102,104113,Directed,1408.7,BUS,28,0.0
104102,104112,Directed,119.12,BUS,"21D, 6",0.0
104102,104052,Directed,290.6,WALK,,253.1
104102,104101,Directed,178.15,WALK,,95.6
104102,104061,Directed,483.02,WALK,,285.2
104102,104051,Directed,946.44,WALK,,255.3
104102,104054,Directed,488.69,WALK,,293.1
803121,803111,Directed,259.2,BUS,7,0.0
803121,803122,Directed,325.29,WALK,,92.5
406012,406022,Directed,558.62,BUS,"10, 26",0.0
406012,406011,Directed,585.06,WALK,,37.0
104032,104054,Directed,279.31,BUS,8,0.0
104032,104321,Directed,289.29,BUS,11,0.0
104032,104321,Directed,446.42,WALK,,220.0
104032,104052,Directed,119.12,BUS,"21D, 6",0.0
104032,104031,Directed,123.71,WALK,,74.4
104032,104033,Directed,840.84,WALK,,70.8
404021,404011,Directed,372.41,BUS,13,0.0
404021,404022,Directed,416.79,WALK,,62.1
803051,803011,Directed,122.73,BUS,"3, 3B, 8, N3",0.0
803051,803016,Directed,272.27,BUS,"18, 18L",0.0
803051,803053,Directed,662.62,WALK,,102.9
803051,803052,Directed,349.24,WALK,,23.7
405042,405052,Directed,558.62,BUS,"10, 26",0.0
405042,405041,Directed,587.88,WALK,,41.0
603251,704152,Directed,1296.0,BUS,16,0.0
603251,603252,Directed,1313.89,WALK,,25.0
104191,804151,Directed,255.12,BUS,"1B, 8, N1",0.0
104191,104192,Directed,364.33,WALK,,152.9
303043,303081,Directed,226.57,BUS,9,0.0
303043,303041,Directed,261.02,WALK,,48.2
605012,605081,Directed,469.57,BUS,19I,0.0
605012,625022,Directed,469.57,BUS,19I,0.0
103051,102072,Directed,506.25,BUS,18,0.0
103051,103052,Directed,540.15,WALK,,47.5
703122,803222,Directed,272.27,BUS,"18, 18L",0.0
703122,703121,Directed,330.53,WALK,,81.6
404083,404071,Directed,925.71,BUS,26,0.0
404083,404161,Directed,925.71,BUS,26,0.0
404083,404081,Directed,203.77,WALK,,26.1
404083,404084,Directed,930.89,WALK,,7.2
404083,404082,Directed,686.26,WALK,,69.7
704142,704181,Directed,1296.0,BUS,16,0.0
704142,704011,Directed,144.0,BUS,"1, 1B",0.0
704142,704152,Directed,239.54,WALK,,153.9
704142,704141,Directed,132.85,WALK,,12.2
704142,704151,Directed,846.74,WALK,,182.1
202061,202041,Directed,225.0,BUS,2,0.0
202061,202031,Directed,129.6,BUS,"22, 7",0.0
202061,203212,Directed,611.32,BUS,24,0.0
202061,202062,Directed,248.32,WALK,,115.3
202061,202082,Directed,338.75,WALK,,235.1
304074,304082,Directed,216.0,BUS,"24, 25",0.0
304074,304082,Directed,363.26,WALK,,206.2
304074,304071,Directed,191.66,WALK,,142.7
304074,304081,Directed,653.42,WALK,,253.1
304074,304072,Directed,210.39,WALK,,151.5
804252,804241,Directed,137.29,BUS,"1, 1B, N1",0.0
804252,804342,Directed,900.0,BUS,15,0.0
804252,804062,Directed,334.02,BUS,25,0.0
804252,804251,Directed,119.38,WALK,,30.9
804252,804082,Directed,292.85,WALK,,131.7
804252,804081,Directed,545.83,WALK,,86.1
104351,104341,Directed,1408.7,BUS,28,0.0
104351,104352,Directed,1440.23,WALK,,44.1
104351,104361,Directed,1613.53,WALK,,286.8
805023,805011,Directed,900.0,BUS,15,0.0
805023,835011,Directed,900.0,BUS,15,0.0
805023,805032,Directed,334.02,BUS,25,0.0
805023,805032,Directed,412.67,WALK,,110.1
805023,805021,Directed,356.76,WALK,,31.8
805023,805031,Directed,466.97,WALK,,186.1
104211,104201,Directed,255.12,BUS,"1B, 8, N1",0.0
104211,104212,Directed,274.49,WALK,,27.1
614082,614092,Directed,450.0,BUS,19B,0.0
614082,614081,Directed,459.82,WALK,,13.8
404042,404052,Directed,372.41,BUS,13,0.0
404042,404041,Directed,388.0,WALK,,21.8
304131,304111,Directed,249.23,BUS,"11, 11B, 20Z",0.0
304131,304132,Directed,270.8,WALK,,30.2
503011,602111,Directed,113.29,BUS,"27, 3, 3B, N3, N3B",0.0
503011,503014,Directed,314.61,WALK,,101.9
503011,503012,Directed,328.63,WALK,,161.7
304051,304031,Directed,128.57,BUS,"20, 20Z, 22",0.0
303071,303051,Directed,92.84,BUS,"20, 20Z, 22, 25",0.0
303071,303061,Directed,435.98,WALK,,261.5
303071,303052,Directed,417.67,WALK,,235.8
303071,303072,Directed,106.17,WALK,,18.7
804251,804041,Directed,97.3,BUS,"1, 1B, 25, N1",0.0
804251,804252,Directed,479.18,WALK,,30.9
804251,804082,Directed,303.46,WALK,,146.6
804251,804081,Directed,554.42,WALK,,98.1
104182,204132,Directed,790.24,BUS,21D,0.0
104182,104181,Directed,831.79,WALK,,58.2
104372,104032,Directed,70.59,BUS,"11, 6, 8",0.0
104372,104371,Directed,155.3,WALK,,118.6
103173,103191,Directed,214.57,BUS,"13, 18",0.0
103173,103181,Directed,611.32,BUS,24,0.0
703081,602031,Directed,100.62,BUS,"6, 6B",0.0
703081,703082,Directed,114.56,WALK,,19.5
303024,303072,Directed,92.84,BUS,"20, 20Z, 22, 25",0.0
303024,303052,Directed,249.23,BUS,"11, 11B",0.0
303024,303022,Directed,467.37,WALK,,142.1
303024,303032,Directed,362.93,WALK,,276.7
303024,303021,Directed,195.33,WALK,,202.7
604042,605082,Directed,469.57,BUS,19I,0.0
604042,604041,Directed,508.77,WALK,,54.9
603102,603112,Directed,229.79,BUS,"19B, 19I",0.0
603102,603101,Directed,265.41,WALK,,49.9
702032,703182,Directed,272.27,BUS,"18, 18L",0.0
702032,702031,Directed,331.25,WALK,,82.6
304142,304102,Directed,368.18,BUS,"24, 26",0.0
